Composition_AA1BB1O3,temperature,pH2O,HPC,A ,A_fraction,A_valence,A1,A1_fraction,A1_valence,B,B_fraction,B_valence,B1,B1_fraction,B1_valence
La0.7Sr0.3MnO2.95,415,0.023,0.142,La,0.7,3,Sr,0.3,2,Mn,1,3,,,
La0.7Sr0.3MnO2.95,415,0.09,0.082,La,0.7,3,Sr,0.3,2,Mn,1,3,,,
La0.7Sr0.3MnO2.95,415,0.03,0.046,La,0.7,3,Sr,0.3,2,Mn,1,3,,,
La0.7Sr0.3MnO2.98,415,0.023,0.014,La,0.7,3,Sr,0.3,2,Mn,1,3,,,
La0.7Sr0.3Mn0.9Ni0.1O2.93,415,0.023,0.11,La,0.7,3,Sr,0.3,2,Mn,0.9,3,Ni,0.1,2
La0.7Sr0.3Mn0.7Ni0.3O2.93,415,0.023,0.196,La,0.7,3,Sr,0.3,2,Mn,0.7,3,Ni,0.3,2
La0.7Sr0.3Mn0.7Ni0.3O2.93,415,0.09,0.084,La,0.7,3,Sr,0.3,2,Mn,0.7,3,Ni,0.3,2
La0.7Sr0.3Mn0.7Ni0.3O2.93,415,0.03,0.016,La,0.7,3,Sr,0.3,2,Mn,0.7,3,Ni,0.3,2
La0.8Sr0.2CoO3,405,0.023,0.15,La,0.8,3,Sr,0.2,2,Co,1,3,,,
La0.8Sr0.2Co0.9Ni0.1O3,405,0.023,0.126,La,0.8,3,Sr,0.2,2,Co,0.9,3,Ni,0.1,2
La0.8Sr0.2Co0.8Ni0.2O3,405,0.023,0.082,La,0.8,3,Sr,0.2,2,Co,0.8,3,Ni,0.2,2
La0.8Sr0.2Co0.7Ni0.3O3,405,0.023,0.062,La,0.8,3,Sr,0.2,2,Co,0.7,3,Ni,0.3,2
La0.8Sr0.2Co0.7Ni0.3O3,250,0.023,0.032,La,0.8,3,Sr,0.2,2,Co,0.7,3,Ni,0.3,2
La0.8Sr0.2Co0.7Ni0.3O3,280,0.023,0.033,La,0.8,3,Sr,0.2,2,Co,0.7,3,Ni,0.3,2
La0.8Sr0.2Co0.7Ni0.3O3,300,0.023,0.033,La,0.8,3,Sr,0.2,2,Co,0.7,3,Ni,0.3,2
